Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,Matches
2,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-325,1989,36.0,41,7,0,4,2,35.2,0.25,-2.8,-0.08,210,462,45.5,1022,189,31.3,33.7,285,49.8,43.1,427,42,9.8,21,0.58,13.8,Matches
3,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,46,5,0,5,0,45.6,0.30,-0.4,-0.01,262,518,50.6,864,143,39.5,35.9,283,62.5,43.3,302,23,7.6,20,0.67,13.3,Matches
4,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9,Matches
5,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,28,4,0,4,2,26.0,0.22,0.0,0.00,199,419,47.5,897,141,34.0,35.0,199,57.3,44.2,284,32,11.3,23,0.70,15.6,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,23,3,0,2,1,24.6,0.34,+2.6,+0.14,134,341,39.3,503,81,52.3,42.9,119,65.5,50.9,173,9,5.2,7,0.37,12.6,Matches
7,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,9,0,0,0,0,10.0,0.26,+1.0,+0.14,41,98,41.8,185,36,39.5,36.7,54,46.3,38.4,85,5,5.9,9,1.29,15.5,Matches
8,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3,Matches
9,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,11,1,1,0,0,11.4,0.27,+0.4,+0.05,63,168,37.5,192,36,57.8,43.6,85,67.1,52.4,103,7,6.8,8,0.89,13.7,Matches
10,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,27,7,0,3,1,29.6,0.22,+3.6,+0.10,130,345,37.7,1048,228,24.3,32.3,229,39.3,39.3,283,26,9.2,24,0.65,15.0,Matches
11,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,49,3,0,5,0,46.9,0.34,-2.1,-0.06,304,786,38.7,839,98,68.3,54.6,235,90.6,72.7,253,20,7.9,41,1.18,16.8,Matches
12,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,42,4,2,7,2,39.2,0.28,-0.8,-0.03,264,525,50.3,654,105,53.4,40.8,243,72.4,53.4,325,21,6.5,15,0.54,13.0,Matches
13,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,8,0,0,0,0,9.3,0.45,+1.3,+0.32,24,87,27.6,96,13,70.8,50.3,24,79.2,63.6,35,3,8.6,10,2.50,18.6,Matches
14,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,44,3,1,6,2,38.8,0.31,-3.2,-0.11,124,330,37.6,716,150,38.3,36.2,205,27.3,30.0,255,18,7.1,27,0.93,14.9,Matches
15,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,32,2,0,7,1,29.8,0.32,-1.2,-0.06,126,311,40.5,619,103,38.9,37.3,169,41.4,39.6,186,11,5.9,13,0.62,14.9,Matches
