Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,1,0,0,1,0,0,1,0.0,1,13,4,30.8,5,6,2,0,0,0,0,1,2,0,0,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,34,16,18,10,6,13,28,46.4,15,186,58,31.2,73,90,23,25,4,1,21,34,68,48,1,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,21,9,18,3,0,9,18,50.0,9,97,26,26.8,66,27,4,27,4,0,23,11,32,39,2,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,47,24,23,16,8,24,62,38.7,38,340,96,28.2,120,154,66,64,4,0,60,43,90,44,0,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,27,20,20,7,0,10,21,47.6,11,191,76,39.8,99,84,8,44,24,1,20,23,50,164,1,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,8,7,6,2,0,5,8,62.5,3,60,14,23.3,40,18,2,27,12,1,15,19,27,59,0,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,17,8,4,11,2,6,19,31.6,13,249,60,24.1,48,145,56,17,1,0,16,7,24,9,0,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,38,23,8,26,4,6,26,23.1,20,331,97,29.3,90,207,34,35,5,0,30,12,50,39,0,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,26,18,15,10,1,8,21,38.1,13,144,45,31.3,82,55,7,25,6,0,19,38,64,127,0,Matches
