Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,7,11,63.6,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,1,0,1,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.9,-0.9,33,110,36,18,122,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,520,727,71.5,9660,4691,229,272,84.2,225,300,75.0,57,121,47.1,1,0.9,+0.1,12,40,16,8,45,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,518,627,82.6,11583,3515,118,130,90.8,300,335,89.6,97,146,66.4,0,0.6,-0.6,2,36,2,0,39,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,210,320,65.6,3990,1723,87,103,84.5,92,135,68.1,28,72,38.9,0,0.3,-0.3,2,9,5,3,13,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,168,183,91.8,3248,590,59,64,92.2,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,14,1,1,6,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,14,16,87.5,289,41,3,3,100.0,8,9,88.9,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,2469,2882,85.7,39210,12297,1373,1488,92.3,892,1032,86.4,168,259,64.9,5,7.4,-2.4,51,124,82,19,208,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,1765,1975,89.4,41800,11873,378,410,92.2,937,999,93.8,442,544,81.3,0,1.0,-1.0,4,98,5,0,110,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,199,270,73.7,2815,478,127,160,79.4,38,57,66.7,18,24,75.0,4,3.2,+0.8,17,5,7,1,9,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,197,259,76.1,5186,1484,32,36,88.9,101,109,92.7,61,108,56.5,0,0.0,0.0,0,14,0,0,11,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,962,1157,83.1,20505,5059,350,392,89.3,398,443,89.8,199,286,69.6,0,0.6,-0.6,9,95,13,0,71,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,130,231,56.3,2133,820,72,97,74.2,50,73,68.5,8,39,20.5,1,0.8,+0.2,11,9,11,6,20,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,38,42,90.5,725,166,14,17,82.4,14,15,93.3,8,8,100.0,0,0.0,0.0,0,2,0,0,6,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,371,532,69.7,7495,2429,157,189,83.1,137,176,77.8,71,144,49.3,2,1.9,+0.1,22,55,22,5,59,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,15,15,100.0,197,27,10,10,100.0,5,5,100.0,0,0,,0,0.1,-0.1,1,1,1,0,1,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,525,676,77.7,10619,2280,185,220,84.1,243,296,82.1,85,131,64.9,0,0.9,-0.9,8,51,2,1,34,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,841,998,84.3,19609,6336,223,252,88.5,409,459,89.1,199,265,75.1,0,0.4,-0.4,5,51,4,0,50,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,8,12,66.7,157,38,3,4,75.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,187,237,78.9,3466,929,70,80,87.5,85,103,82.5,22,34,64.7,0,0.1,-0.1,3,22,1,1,12,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,16,30,53.3,760,668,0,0,,5,5,100.0,11,25,44.0,0,0.0,0.0,0,0,0,0,0,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,39,50,78.0,839,321,9,10,90.0,23,24,95.8,6,15,40.0,0,0.0,0.0,0,2,0,0,3,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,509,681,74.7,10712,4232,194,215,90.2,214,262,81.7,99,190,52.1,0,0.9,-0.9,10,43,14,8,51,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,0.3,8,14,57.1,81,11,8,10,80.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,0.3,15,20,75.0,312,146,2,2,100.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,33.1,754,1076,70.1,17074,4295,251,303,82.8,295,384,76.8,190,348,54.6,0,2.1,-2.1,21,83,26,10,88,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,26.0,1273,1499,84.9,28707,8217,296,328,90.2,716,773,92.6,252,372,67.7,0,0.7,-0.7,4,81,3,1,72,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,908,982,92.5,18363,4016,271,284,95.4,512,533,96.1,118,154,76.6,1,0.1,+0.9,1,45,0,0,23,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,1411,1836,76.9,33790,11807,417,464,89.9,596,700,85.1,381,631,60.4,1,0.9,+0.1,12,154,15,6,146,Matches
31,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-138,1999,0.5,4,7,57.1,51,15,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
32,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-231,2001,1.5,76,92,82.6,1168,317,38,43,88.4,29,34,85.3,4,5,80.0,0,0.0,0.0,1,3,4,1,9,Matches
