Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,11,11,0,0,0,7,1,1,0,0,0,0,7,0,4,1,9,1,0,0,7,0,1,0,1,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,1771,1491,280,44,2,177,67,81,24,3,17,1,1047,297,427,1293,212,39,212,2,1426,3,30,36,48,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,10,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,727,546,181,18,1,82,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,28,19,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,320,215,105,9,0,41,8,15,0,0,0,0,123,92,105,17,172,24,96,1,210,2,13,11,10,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,2882,2617,265,29,7,199,42,112,3,0,0,0,2152,457,273,2255,353,31,233,6,2469,6,24,52,94,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,1975,1908,67,62,0,184,67,3,0,0,0,0,1566,138,271,289,1576,70,4,2,1765,2,30,14,19,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,270,234,36,0,6,40,6,5,0,0,0,0,169,67,34,36,201,18,1,5,199,3,4,13,9,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,259,244,15,15,0,21,23,0,0,0,0,0,156,18,85,10,219,21,0,2,197,2,5,3,3,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,1157,1104,53,46,1,202,71,6,1,1,0,0,781,105,271,170,884,51,6,8,962,4,31,22,19,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,231,218,13,1,1,57,12,46,3,1,2,0,120,49,62,18,180,12,7,1,130,0,8,6,26,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,532,467,65,30,1,87,26,21,28,10,11,1,321,67,144,445,47,26,5,1,371,7,13,19,17,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,676,662,14,11,0,127,24,6,0,0,0,0,427,85,164,64,513,62,2,1,525,1,20,8,12,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,998,946,52,49,1,100,48,2,0,0,0,0,718,91,189,72,833,57,3,1,841,3,19,13,14,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,12,10,2,0,0,3,0,0,0,0,0,0,9,1,2,9,1,0,2,0,8,0,0,0,2,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,237,228,9,9,0,46,5,2,0,0,0,0,143,52,42,27,168,27,0,1,187,0,6,11,5,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,681,542,139,18,0,87,26,37,5,2,1,1,351,137,193,417,106,28,116,2,509,5,18,29,13,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,0.3,14,14,0,0,0,2,0,0,0,0,0,0,7,3,4,2,10,1,0,0,8,0,0,0,1,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,33.1,1076,951,125,55,1,164,98,50,67,32,11,10,547,138,391,89,852,85,1,4,754,6,36,18,25,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,26.0,1499,1476,23,21,1,119,29,2,0,0,0,0,1148,128,223,162,1231,67,2,5,1273,2,26,24,18,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,982,947,35,25,1,84,13,0,0,0,0,0,848,54,80,96,821,25,9,5,908,1,8,4,7,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,1836,1564,272,81,2,218,146,30,3,1,2,0,939,344,553,404,1063,125,188,6,1411,2,69,28,29,Matches
31,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-138,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1,Matches
32,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-231,2001,1.5,92,90,2,0,0,20,0,1,0,0,0,0,77,9,6,80,8,1,2,0,76,1,0,1,5,Matches
33,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-325,1989,36.0,1307,945,362,77,0,103,36,0,0,0,0,0,776,53,478,200,882,1,0,191,1033,3,25,8,1,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,25-118,1996,20.2,983,921,62,11,4,151,39,74,32,8,6,3,730,117,136,834,103,13,19,8,789,3,16,21,47,Matches
35,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-291,1987,30.8,1220,1174,46,15,9,249,28,39,1,1,0,0,948,163,109,865,275,48,11,6,936,10,17,50,55,Matches
36,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,21-357,1999,8.3,307,304,3,3,0,60,9,3,0,0,0,0,208,33,66,23,237,25,0,2,249,1,10,10,5,Matches
37,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,27-102,1994,2.2,57,56,1,0,0,7,4,2,0,0,0,0,18,21,18,14,27,8,0,5,32,0,1,3,2,Matches
38,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-158,1992,1.1,38,37,1,0,0,5,0,1,0,0,0,0,28,2,8,5,27,3,1,0,28,0,1,1,0,Matches
39,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-253,1986,8.0,157,145,12,0,1,50,5,6,0,0,0,0,97,38,22,4,133,6,1,3,104,0,6,4,9,Matches
40,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,1147,776,371,86,0,100,17,0,0,0,0,0,553,51,543,109,828,0,2,144,867,1,19,6,2,Matches
41,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-303,2001,1.5,55,53,2,2,0,10,0,3,0,0,0,0,42,9,4,4,45,5,0,1,42,1,1,2,2,Matches
42,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-053,2000,5.9,210,198,12,3,1,47,3,6,6,3,1,0,144,31,35,164,23,10,3,2,170,0,2,6,6,Matches
43,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-079,1988,17.8,877,690,187,22,0,90,13,24,0,0,0,0,483,180,214,589,69,47,165,1,658,3,18,28,41,Matches
44,Barcia\Barcia,es ESP,DF,Granada,20-139,2000,1.0,34,25,9,0,0,6,0,1,0,0,0,0,10,9,15,1,19,3,9,0,13,0,1,1,2,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,25-321,1995,18.0,867,781,86,30,1,177,37,33,46,11,10,3,588,103,176,145,693,12,9,4,647,11,19,27,31,Matches
46,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-048,1997,15.0,473,458,15,3,0,131,24,52,3,1,0,0,287,95,91,119,316,13,7,1,325,3,21,8,36,Matches
47,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,21-269,1999,1.0,19,9,10,2,0,2,2,2,2,0,1,1,4,6,9,10,1,2,6,0,10,0,1,1,2,Matches
48,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-341,1987,23.8,1290,1082,208,46,1,122,37,35,1,1,0,0,823,199,268,150,918,43,161,2,1067,4,19,30,25,Matches
49,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-143,2001,14.4,407,396,11,3,1,77,6,28,0,0,0,0,289,54,64,65,313,17,8,1,292,1,12,16,24,Matches
50,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-124,1991,17.8,934,885,49,42,0,85,28,4,0,0,0,0,656,72,206,62,797,41,7,5,761,4,15,6,6,Matches
51,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-311,1991,27.5,1032,982,50,46,0,187,27,6,2,1,1,0,731,126,175,175,747,75,0,3,869,2,17,22,23,Matches
52,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-320,1995,4.1,89,82,7,0,0,31,2,3,3,2,0,1,49,18,22,17,46,10,0,1,55,0,2,2,2,Matches
53,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-105,1999,14.6,731,709,22,15,0,106,15,4,3,0,2,0,581,83,67,74,617,27,2,4,662,0,10,12,7,Matches
54,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-057,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-151,1987,31.2,1218,1162,56,2,8,204,20,25,2,0,0,0,983,153,82,210,957,20,1,16,1018,5,23,36,40,Matches
56,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-098,1990,18.7,1124,892,232,32,1,102,40,64,0,0,0,0,651,318,155,813,62,36,200,1,922,3,11,23,50,Matches
57,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,25-319,1995,24.3,881,766,115,23,4,139,35,62,82,32,21,5,540,138,203,95,723,27,10,8,592,5,28,26,58,Matches
58,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-246,1990,16.8,627,563,64,26,0,80,39,6,0,0,0,0,293,82,252,268,196,84,38,4,450,5,21,6,9,Matches
59,Blanco\Blanco,es ESP,MFDF,Real Madrid,20-300,2000,2.4,175,173,2,2,0,11,8,3,0,0,0,0,152,10,13,24,143,7,0,1,161,1,1,1,2,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-154,1998,6.4,144,142,2,0,0,22,2,6,0,0,0,0,109,18,17,114,15,11,2,1,105,0,1,3,14,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,664,468,196,52,0,45,16,0,0,0,0,0,348,22,294,162,412,0,0,82,470,3,14,1,0,Matches
62,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-099,1995,2.8,96,94,2,1,0,20,3,1,1,0,0,1,62,18,16,59,18,10,0,0,67,1,3,1,4,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,1096,831,265,66,0,81,52,0,0,0,0,0,630,45,421,695,199,0,0,141,865,1,33,5,4,Matches
64,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-080,1996,28.9,630,582,48,1,1,180,19,11,0,0,0,0,465,107,58,108,474,19,0,11,497,3,6,22,25,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-348,1991,12.6,272,263,9,0,2,65,4,7,0,0,0,0,218,35,19,41,206,9,0,4,220,0,1,9,7,Matches
66,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-096,1992,10.1,315,302,13,3,0,78,2,11,0,0,0,0,211,54,50,61,206,21,1,1,229,1,11,12,19,Matches
67,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-104,1998,0.2,11,11,0,0,0,4,0,0,0,0,0,0,5,6,0,0,8,1,0,0,8,0,1,1,0,Matches
68,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,622,428,194,75,0,53,24,0,0,0,0,0,266,17,339,34,483,1,0,81,407,1,16,2,3,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,344,335,9,7,0,73,4,1,0,0,0,0,242,55,47,21,286,19,1,1,267,1,8,11,9,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,6,6,0,0,0,1,0,0,0,0,0,0,2,3,1,0,3,2,0,0,5,0,0,0,0,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,7,7,0,0,0,1,0,0,0,0,0,0,5,1,1,6,0,0,0,0,5,0,0,0,1,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,990,895,95,24,3,148,49,106,47,19,25,2,640,145,205,875,54,25,24,3,676,2,22,32,57,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,392,369,23,1,0,166,3,5,0,0,0,0,191,100,101,197,37,40,3,18,245,3,11,21,14,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,547,524,23,23,0,51,43,0,0,0,0,0,312,62,173,56,402,66,0,3,417,3,13,3,5,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,9,9,0,0,0,1,0,0,0,0,0,0,7,0,2,2,6,0,0,0,8,1,0,0,0,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,2638,2532,106,103,14,297,44,3,0,0,0,0,2182,196,260,399,2142,53,3,11,2419,7,20,52,17,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,439,386,53,37,0,55,54,3,0,0,0,0,188,53,198,53,306,37,16,0,297,3,24,5,9,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,688,642,46,45,0,74,63,0,0,0,0,0,355,68,265,80,513,64,1,4,508,1,21,9,7,Matches
79,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-238,1993,17.2,355,325,30,0,1,121,8,14,0,0,0,0,186,85,84,22,225,34,0,8,218,0,9,12,18,Matches
