Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,14,0,0,9,6,0,14,1,2,50.0,1,0,9,42,19,1,1,0,0,0,9,7,77.8,1,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,2027,73,704,915,525,32,1760,41,60,68.3,43,5,1309,5909,3793,133,34,8,33,33,1437,1356,94.4,56,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,883,48,306,454,155,8,706,4,8,50.0,4,0,412,1633,843,33,8,2,8,9,501,425,84.8,19,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,815,129,510,327,20,11,799,5,6,83.3,6,1,472,2867,1515,33,3,1,4,5,464,460,99.1,1,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,421,42,183,185,70,1,318,9,10,90.0,9,0,141,917,462,24,5,0,5,5,147,136,92.5,5,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,216,14,56,151,23,0,215,3,4,75.0,3,2,146,812,351,10,1,0,1,4,152,144,94.7,2,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,25,1,12,11,3,1,25,1,1,100.0,1,0,19,97,35,1,0,0,0,2,13,13,100.0,1,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,3154,92,665,1287,1359,123,2894,17,37,45.9,24,7,2139,7662,3996,167,45,16,22,14,2558,2379,93.0,193,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,2254,352,1292,1112,51,11,2190,5,9,55.6,5,0,1501,10933,6931,128,16,0,5,3,1621,1605,99.0,5,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,392,8,33,192,179,80,351,7,10,70.0,7,0,221,795,355,25,6,9,26,15,590,270,45.8,108,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,371,71,228,168,3,3,356,0,0,,0,0,157,985,545,7,0,0,0,0,192,181,94.3,0,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,1397,59,365,923,202,25,1351,13,22,59.1,16,1,892,4629,2139,69,22,1,10,20,922,858,93.1,10,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,367,16,71,143,190,28,353,15,26,57.7,15,0,247,2075,1343,61,20,7,21,21,332,228,68.7,50,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,46,2,12,26,8,1,46,0,1,0.0,1,0,38,142,80,1,0,0,0,2,50,43,86.0,1,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,674,8,62,343,311,20,613,18,27,66.7,19,3,464,2338,1198,59,24,1,16,20,587,447,76.1,46,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,21,0,0,7,14,2,21,1,2,50.0,1,0,19,70,41,4,0,0,1,2,27,19,70.4,4,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,840,35,186,548,146,17,830,5,8,62.5,5,0,445,2271,789,40,12,2,11,11,483,459,95.0,17,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,1218,137,648,609,52,17,1169,8,10,80.0,9,2,711,4863,2493,45,15,1,2,2,732,721,98.5,7,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,17,0,5,11,3,0,15,0,0,,0,0,8,67,41,1,0,0,1,0,9,9,100.0,0,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,313,22,89,192,39,7,304,3,4,75.0,4,1,125,520,142,9,1,0,2,7,177,141,79.7,3,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,40,37,40,0,0,0,21,0,0,,0,0,5,21,16,0,0,0,0,0,9,8,88.9,0,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,77,13,40,36,2,1,77,0,0,,0,0,27,90,24,1,0,0,0,0,35,32,91.4,0,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,775,26,178,418,231,4,639,10,12,83.3,11,0,447,2226,1176,47,21,1,8,10,441,418,94.8,12,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,0.3,22,0,0,11,11,3,22,0,1,0.0,0,0,15,83,40,3,0,1,0,2,18,15,83.3,4,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,0.3,24,0,5,16,3,1,19,0,1,0.0,0,0,10,35,8,0,0,0,0,0,14,14,100.0,0,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,33.1,1470,47,252,877,452,39,1350,31,56,55.4,34,4,866,5042,2174,100,47,8,31,32,863,737,85.4,59,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,26.0,1740,272,1034,799,45,9,1717,6,7,85.7,6,0,1128,7664,4272,91,10,0,6,2,1221,1205,98.7,2,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,1114,154,519,611,44,13,1087,4,5,80.0,5,0,791,3899,2057,65,11,1,1,2,830,817,98.4,0,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,2168,134,759,1273,284,14,1899,28,30,93.3,30,0,1197,7221,3590,112,25,3,16,14,1182,1139,96.4,6,Matches
