Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,1,18,3,16.7,0.70,0.12,0.06,0.33,20.6,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,0,2,0,0.0,0.12,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,0,1,0,0.0,0.12,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,3,26,11,42.3,0.79,0.33,0.12,0.27,19.6,1,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,0,8,1,12.5,0.24,0.03,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,6,36,18,50.0,2.11,1.06,0.14,0.28,13.7,3,1,2,8.3,6.7,0.20,-2.3,-1.7,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,0,2,0,0.0,0.21,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,6,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
