Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0.0,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,5,0,0,45,33,2,81,25,47,0,2,0,215,19,31,38.0,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,1,0,0,24,24,1,22,34,16,0,0,0,126,25,24,51.0,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,3,0,0,13,14,1,1,16,17,0,0,0,153,49,42,53.8,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,3,1,1,9,3,0,15,11,9,0,0,0,77,17,6,73.9,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50.0,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,9,0,0,21,15,10,112,43,24,0,0,1,289,7,14,33.3,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,7,0,0,13,17,1,3,23,20,0,1,0,300,64,47,57.7,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,0,0,0,7,8,18,5,7,4,0,0,0,42,9,46,16.4,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,2,0,0,12,5,1,0,19,7,0,0,1,53,19,17,52.8,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,10,0,0,47,44,0,6,29,37,0,0,0,287,55,55,50.0,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,5,0,0,29,22,5,46,2,15,0,0,0,59,16,9,64.0,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,1,0,0,19,25,0,21,7,8,0,0,0,108,12,37,24.5,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,3,0,0,37,16,0,6,12,23,0,0,0,221,42,46,47.7,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,6,0,0,20,15,0,2,38,18,0,0,0,206,71,43,62.3,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,1,0,0,13,6,0,2,9,15,1,0,0,84,21,31,40.4,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,3,0,0,8,4,0,37,12,10,0,0,0,132,17,18,48.6,Matches
